n,m,F,phy_mob_a,beta_p,soc_mob_a,beta_s,r,s,tolerance,q,theta,init_random_prob,radius,noise_rate,num_joint_activities,pool_multiplier,run,time,avg_path_length,dia,avg_degree,cluster_coeff,corr_soc_phy,corr_soc_cul,corr_phy_cul,num_cultures,size_culture,overall_diversity,ass,num_components,largest_component,within_component_diversity,between_component_diversity,component_diversity_ratio,num_communities,largest_community,within_community_diversity,between_community_diversity,community_diversity_ratio,social_clustering,social_closeness,physical_closeness,overall_closeness,physicalStability,socialStability,culturalStability,num_culture_components,num_regions,max_region_size,num_cooperators,num_defectors,num_strategy_regions,max_strategy_region_size,avg_num_players,avg_num_cooperators,avg_did_cooperate,avg_cooperators_over_players,avg_did_cooperate_over_cooperators,avg_payoff,avg_defector_payoff,avg_cooperator_payoff,avg_mpcr,avg_pool_multiplier
10000,100,5,1,10,1,1,1,1,-1,30,0,NA,2,0,5,0.6,0,0,nan,nan,nan,nan,nan,nan,nan,0.9999,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,1.0,0.0001,4999,5001,0.1413,0.0292,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
10000,100,5,1,10,1,1,1,1,-1,30,0,NA,2,0,5,0.6,0,10000000,nan,nan,nan,nan,nan,nan,nan,0.3525,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.7498,0.0032,27,9973,0.0024,0.9973,7.22338,0.00701346,0.00635212,0.00312507,nan,0.000103393,0.000272882,-0.000169489,0.6,4.33403
10000,100,5,1,10,1,1,1,1,-1,30,0,NA,2,0,5,0.6,0,20000000,nan,nan,nan,nan,nan,nan,nan,0.2178,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.699,0.0039,14,9986,0.0013,0.9986,7.98508,0.00421073,0.00388189,0.00191531,nan,5.17334e-05,0.000136071,-8.43381e-05,0.6,4.79105
10000,100,5,1,10,1,1,1,1,-1,30,0,NA,2,0,5,0.6,0,30000000,nan,nan,nan,nan,nan,nan,nan,0.1252,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.6126,0.0074,13,9987,0.0012,0.9987,8.4006,0.00320464,0.00298591,0.00147591,nan,3.44065e-05,9.04992e-05,-5.60927e-05,0.6,5.04036
10000,100,5,1,10,1,1,1,1,-1,30,0,NA,2,0,5,0.6,0,40000000,nan,nan,nan,nan,nan,nan,nan,0.0969,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.5592,0.0109,13,9987,0.0012,0.9987,8.69313,0.00270242,0.00253858,0.00125652,nan,2.57727e-05,6.77897e-05,-4.2017e-05,0.6,5.21588
10000,100,5,1,10,1,1,1,1,-1,30,0,NA,2,0,5,0.6,0,50000000,nan,nan,nan,nan,nan,nan,nan,0.0721,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.5274,0.0244,13,9987,0.0012,0.9987,8.92091,0.00239651,0.00226554,0.00112256,nan,2.06024e-05,5.41904e-05,-3.3588e-05,0.6,5.35255
10000,100,5,1,10,1,1,1,1,-1,30,0,NA,2,0,5,0.6,0,60000000,nan,nan,nan,nan,nan,nan,nan,0.0641,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.5265,0.0092,13,9987,0.0012,0.9987,9.0832,0.00219648,0.00208739,0.00103519,nan,1.71599e-05,4.51357e-05,-2.79757e-05,0.6,5.44992
10000,100,5,1,10,1,1,1,1,-1,30,0,NA,2,0,5,0.6,0,70000000,nan,nan,nan,nan,nan,nan,nan,0.0485,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.5074,0.0319,13,9987,0.0012,0.9987,9.20943,0.00205134,0.00195786,0.000971649,nan,1.47031e-05,3.86736e-05,-2.39704e-05,0.6,5.52566
10000,100,5,1,10,1,1,1,1,-1,30,0,NA,2,0,5,0.6,0,80000000,nan,nan,nan,nan,nan,nan,nan,0.0392,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.4559,0.0295,10,9990,0.001,0.999,9.33634,0.0019259,0.00184414,0.000915692,nan,1.28655e-05,3.38392e-05,-2.09736e-05,0.6,5.6018
10000,100,5,1,10,1,1,1,1,-1,30,0,NA,2,0,5,0.6,0,90000000,nan,nan,nan,nan,nan,nan,nan,0.0211,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,nan,nan,0.3832,0.045,10,9990,0.001,0.999,9.456,0.00179976,0.0017271,0.000857883,nan,1.14334e-05,3.00723e-05,-1.86389e-05,0.6,5.6736
